condition,scenario,run_count,unitAttributionCount_mean,unitAttributionCount_stddev,unitAttributionCount_ci_lower,unitAttributionCount_ci_upper,degradedConflictCount_mean,degradedConflictCount_stddev,degradedConflictCount_ci_lower,degradedConflictCount_ci_upper,contradictionCount_mean,contradictionCount_stddev,contradictionCount_ci_lower,contradictionCount_ci_upper,factSurvivalRate_mean,factSurvivalRate_stddev,factSurvivalRate_ci_lower,factSurvivalRate_ci_upper,erosionRate_mean,erosionRate_stddev,erosionRate_ci_lower,erosionRate_ci_upper,driftAbsorptionRate_mean,driftAbsorptionRate_stddev,driftAbsorptionRate_ci_lower,driftAbsorptionRate_ci_upper,majorContradictionCount_mean,majorContradictionCount_stddev,majorContradictionCount_ci_lower,majorContradictionCount_ci_upper,meanTurnsToFirstDrift_mean,meanTurnsToFirstDrift_stddev,meanTurnsToFirstDrift_ci_lower,meanTurnsToFirstDrift_ci_upper
FULL_AWMU,adversarial-displacement,10,5.0,0.0,5.0,5.0,2.5,5.004997502496879,2.5,2.5,0.6,0.48989794855663565,0.2799333402763313,0.9200666597236686,88.0,9.797958971132712,81.59866680552663,94.40133319447337,0.0,0.0,0.0,0.0,93.33333333333333,5.443310539518175,89.77703711418145,96.8896295524852,0.3,0.45825756949558394,6.050545962184573E-4,0.5993949454037815,13.333333333333334,1.4907119849998596,12.026666666666667,14.64
FULL_AWMU,adversarial-poisoned-player,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,balanced-campaign,10,5.0,0.0,5.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,compliance-fraud-review,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,compliance-policy-adaptive,10,2.7,0.6403124237432849,2.281662549821054,3.1183374501789465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,16.00781059358212,57.04156374552635,77.95843625447365,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,cursed-blade,10,4.0,0.0,4.0,4.0,0.3,0.9000000000000001,0.3,0.3,0.2,0.4,-0.06133333333333335,0.4613333333333334,95.0,10.0,88.46666666666667,101.53333333333333,0.0,0.0,0.0,0.0,97.77777777777779,4.4444444444444455,94.87407407407409,100.68148148148148,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0
FULL_AWMU,ops-incident-adaptive,10,3.8,0.39999999999999997,3.5386666666666664,4.061333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,88.46666666666667,101.53333333333333,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,ops-incident-response,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.2,0.4,-0.06133333333333335,0.4613333333333334,96.0,8.0,90.77333333333334,101.22666666666666,0.0,0.0,0.0,0.0,97.5,5.0,94.23333333333333,100.76666666666667,0.1,0.30000000000000004,-0.09600000000000003,0.29600000000000004,9.0,0.0,9.0,9.0
FULL_AWMU,trust-evaluation-basic,10,3.7,0.45825756949558405,3.4006050545962188,3.9993949454037816,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,92.5,11.4564392373896,85.01512636490546,99.98487363509454,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,adversarial-contradictory,9,3.111111111111111,0.9938079899999066,2.422437309563331,3.7997849126588914,3.7777777777777777,5.593205754956986,3.7777777777777777,3.7777777777777777,15.444444444444445,3.095197394929804,13.29958207871996,17.589306810168928,6.666666666666667,9.428090415820634,0.13333333333333286,13.200000000000001,82.77777777777777,13.356461422412565,73.52222222222221,92.03333333333333,10.123456790123457,6.675805350417666,5.497359701624926,14.749553878621988,10.555555555555555,2.2166597048066667,9.019488748880827,12.091622362230284,6.966666666666667,0.5328122454381925,6.597446617855061,7.3358867154782725
